Month,Weekday,Turbidity,Air Temperature (°C)
1,Monday,29.5,16.65555555555555
1,Monday,28.1,16.477777777777774
1,Monday,29.3,16.544444444444444
1,Monday,31.7,16.522222222222226
1,Monday,46.2,16.272222222222222
1,Monday,39.5,13.199999999999998
1,Monday,68.1,11.18888888888889
1,Monday,40.9,11.105555555555558
1,Monday,42.8,10.177777777777777
1,Monday,52.1,9.93888888888889
1,Monday,49.5,10.011111111111113
1,Monday,53.6,9.833333333333336
1,Monday,56.3,9.83888888888889
1,Monday,54.7,10.027777777777777
1,Monday,52.3,10.02222222222222
1,Monday,54.6,9.738888888888889
1,Monday,52.7,9.17777777777778
1,Monday,54.8,8.672222222222222
1,Monday,53.1,8.266666666666667
1,Monday,53.2,8.08888888888889
1,Monday,52.1,7.833333333333333
1,Monday,50.5,7.466666666666665
1,Monday,49.7,7.3888888888888875
1,Monday,51.9,7.216666666666669
1,Monday,51.4,6.9555555555555575
1,Monday,51.5,6.888888888888888
1,Monday,51.6,7.144444444444444
1,Monday,49.6,7.522222222222221
1,Monday,50.2,7.705555555555555
1,Monday,48.5,7.872222222222224
1,Monday,49,7.583333333333333
1,Monday,47,7.855555555555556
1,Monday,46.5,8.411111111111111
1,Monday,44.3,8.127777777777778
1,Monday,45.2,7.872222222222224
1,Monday,43.2,7.449999999999998
1,Monday,40.3,7.566666666666666
1,Monday,40.8,7.905555555555553
1,Monday,42,7.744444444444444
1,Monday,39.6,6.8277777777777775
1,Monday,36.1,6.4111111111111105
1,Monday,41.2,6.355555555555554
1,Monday,45.4,6.044444444444446
1,Monday,51.8,5.7055555555555575
1,Monday,46.3,5.42777777777778
1,Monday,51.4,4.961111111111111
1,Monday,47.4,4.322222222222223
1,Monday,48.4,3.966666666666667
1,Monday,46.9,3.561111111111109
1,Monday,47.9,2.950000000000001
1,Monday,51.9,2.422222222222222
1,Monday,53,2.0833333333333335
1,Monday,60.1,1.7499999999999991
1,Monday,56.2,1.4111111111111105
1,Monday,52.5,1.1777777777777763
1,Monday,55,0.6833333333333316
1,Monday,49.3,0.06666666666666525
1,Monday,53.4,-0.24444444444444516
1,Monday,54.6,-0.6666666666666663
1,Monday,62.7,-1.0944444444444439
1,Monday,71.6,-1.4833333333333343
1,Monday,67.9,-2.0111111111111115
1,Monday,67.5,-2.616666666666667
1,Monday,68.4,-3.277777777777777
1,Monday,66.9,-3.7722222222222217
1,Monday,64.6,-4.238888888888888
1,Monday,79.8,-4.633333333333334
1,Tuesday,69.8,-5.072222222222221
1,Tuesday,67.8,-5.566666666666666
1,Tuesday,75,-5.972222222222222
1,Tuesday,76,-6.300000000000001
1,Tuesday,75.9,-6.622222222222224
1,Tuesday,72.8,-6.877777777777776
1,Tuesday,70.3,-7.105555555555555
1,Tuesday,75.4,-7.383333333333332
1,Tuesday,79.7,-7.588888888888889
1,Tuesday,74.9,-7.905555555555556
1,Tuesday,77,-8.083333333333334
1,Tuesday,107.2,-8.4
1,Tuesday,93.9,-8.622222222222222
1,Tuesday,79.1,-8.816666666666668
1,Tuesday,96.2,-9.022222222222224
1,Tuesday,120.9,-9.261111111111113
1,Tuesday,104,-9.53888888888889
1,Tuesday,108.3,-9.677777777777779
1,Tuesday,95.8,-9.95
1,Tuesday,87,-10.100000000000001
1,Tuesday,184.5,-10.277777777777779
1,Tuesday,162.5,-10.483333333333333
1,Tuesday,126.7,-10.572222222222223
1,Tuesday,103.6,-10.633333333333333
1,Tuesday,104.3,-10.922222222222222
1,Tuesday,67.3,-11.011111111111111
1,Tuesday,60.8,-11.177777777777777
1,Tuesday,55.3,-11.288888888888888
1,Tuesday,56.5,-11.366666666666667
1,Tuesday,73.1,-11.511111111111111
1,Tuesday,75,-11.555555555555555
1,Tuesday,83.5,-11.61111111111111
1,Tuesday,66.7,-11.538888888888888
1,Tuesday,60.4,-11.594444444444443
1,Tuesday,58.5,-11.688888888888888
1,Tuesday,50.5,-11.549999999999999
1,Tuesday,48.8,-11.238888888888889
1,Tuesday,77.4,-11.016666666666666
1,Tuesday,50.2,-10.816666666666666
1,Tuesday,65.8,-10.666666666666666
1,Tuesday,48.8,-10.283333333333331
1,Tuesday,47.7,-10.533333333333335
1,Tuesday,45.3,-10.627777777777778
1,Tuesday,51.3,-10.383333333333333
1,Tuesday,71.8,-9.994444444444447
1,Tuesday,79.8,-9.627777777777776
1,Tuesday,79,-9.705555555555556
